date,close
2004-11-19,14326826.399308557
2004-11-22,14396431.341141347
2004-11-24,14421995.686372122
2004-11-26,14499332.133784592
2004-11-29,14506923.534807378
2004-12-02,14602697.858632676
2004-12-07,14523163.365712339
2004-12-08,14044019.38549325
2004-12-17,14107222.273916965
2004-12-22,14173989.415367845
2004-12-30,13999160.315939277
2005-01-03,14076573.441187248
2005-01-04,13749405.24509804
2005-01-06,13640938.975320742
2005-01-07,13571882.705246914
2005-01-11,13543783.177363897
2005-01-12,13712341.179384766
2005-01-24,13735426.625839377
2005-01-25,13643552.7409064
2005-02-01,13531214.608303726
2005-02-08,13214939.192662325
2005-02-22,13912296.572832553
2005-02-23,13904565.795920953
2005-03-01,13934507.76146731
2005-03-03,13830324.218404375
2005-03-04,13934405.646936908
2005-04-01,13732581.436246112
2005-04-05,13649658.247875523
2005-04-06,13686432.542058878
2005-04-07,13759102.777032198
2005-04-08,13668600.997052021
2005-04-13,13741709.459135428
2005-04-26,14045353.970653996
2005-05-03,13756327.239040483
2005-05-23,13434901.20731982
2005-05-31,13319768.141334077
2005-06-01,13352285.589000557
2005-06-23,14114626.082163757
2005-06-27,14118766.13309004
2005-07-01,13907494.847470196
2005-07-07,13668893.744521048
2005-07-13,13645699.533414137
2005-07-21,13636678.023509018
2005-07-26,13603248.422331132
2005-08-01,13876842.115847811
2005-08-02,13855950.610669872
2005-08-31,13923931.80085356
2005-09-01,14133020.688441953
2005-09-08,14419009.873776117
2005-09-09,14409262.926952891
2005-09-16,14695952.981403543
2005-09-22,14985988.893270344
2005-10-03,14985136.993827159
2005-10-28,15130498.457775218
2005-11-01,14772995.138415674
2005-11-14,15027956.537155878
2005-11-17,15627668.788612297
2005-11-18,15617741.877548255
2005-11-23,15672975.773155313
2005-11-29,15942584.394364968
2005-12-01,16067007.655527443
2005-12-08,16578391.42355372
2005-12-16,16297742.768361581
2005-12-19,16353300.094335668
2005-12-21,15717806.253342161
2005-12-27,16186477.80016142
2005-12-28,16649598.65915981
